Epic_ID,DPC,Epic_Name,CoD,Backlog,EconomicImpact_Income,EconomicImpact_CostsSaving,EconomicImpact_LossPrevention,Strategy_Value,UserExperience_FutureCustomerExperience_Value,PlatformUsage_FinalValue,Markets_Value,CustomerSatisfaction_Value,Critical_Event_value,Margin_to_deadline,Margin_to_deadline_value,WOWA_RankExponent_4_23.4,WOWA_RankExponent_4_23.4_scaled,WOWA_RankExponent_4_23.4_class,WOWA_RankExponent_4_23.4_fairCOD,CoD_class
LPM-259,23.4,"[AFTERSALES] Sales, Aftersales & GQ CEM survey in APP",1.0,OLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.0018497345081339132,0.0,1,1,1
LPM-258,23.4,[AFTERSALES] Pick up time calculation for online book an appointment,5.0,OLA,0.08281702916152536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.05115002122145361,0.07304409456185033,2,2,4
LPM-238,23.4,CUPRA Parking service in MCA [MOD3][MOD4],5.0,OLA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.28861679087886893,0.4248786645921915,5,8,4
CCC-195,23.4,CUPRA Parking service [MOD3],13.0,OLA,0.0,0.0,0.9996692763270996,0.0,1.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.5605255265847223,0.8277430032639885,7,21,6
LPM-45,23.3,AutoIDENT,40.0,OLA,0.07442889292848509,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.40788661884622446,0.6015907523551494,6,13,8
LPM-46,23.3,Set-up Assistant for My CUPRA app,8.0,OLA,0.07442889292848509,0.0,0.0,0.9,0.0,0.6,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.210015768809317,0.30842213114255396,5,8,5
LPM-137,23.3,Enrollment Improvements,21.0,OLA,0.07442889292848509,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.2294156173883407,0.008590876049078044,0.4997100701275306,0.7376378487420163,7,21,7
LPM-4.2,23.3,Public / Home charging integration in digital platforms (MCA),13.0,OLA,0.0,0.4052900752917071,0.0,0.8,1.0,0.0,0.0,0.056338028169014086,0.0,0.2294156173883407,0.008590876049078044,0.5422890937662094,0.8007236122610067,7,21,6
LPM-187,23.3,EV Route planner in digital platforms (MCA & WEB),13.0,OLA,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.7583892617449665,0.0,0.2294156173883407,0.008590876049078044,0.606778343825428,0.8962719182361868,7,21,6
LPM-235,23.3,[AFTERSALES] Book an appointment,21.0,OLA,0.7145173721134569,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.612781393405025,0.9051661326593474,8,40,7
LPM-189,23.3,My CUPRA App - UX & Performance Improvements,21.0,OLA,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.5,0.0,0.2294156173883407,0.008590876049078044,0.3148630715428357,0.46376557447699124,5,8,7
LPM-197,23.3,Stabilize systems and prevent unauthorized 3rd party requests,100.0,OLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7610141313383209,1.0,0.2294156173883407,0.008590876049078044,0.6542192341765869,0.966561101361205,9,100,9
LPM-257,23.3,One Time Notification,21.0,OLA,0.0,0.9141881397557302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.512599267632049,0.7567346902435901,7,21,7
LPM-224,23.3,[AFTERSALES] Breakdown section in App,2.0,OLA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.28861679087886893,0.4248786645921915,5,8,2
LPM-56,23.3,Success Rate integration,8.0,OLA,0.0,0.0,0.025716492133514637,0.0,0.0,0.0,0.0,1.0,0.0,0.0010077044222750284,0.997180430424918,0.5638456386903367,0.8326621345463004,7,21,5
LPM-231,23.3,[AFTERSALES] Workshop section in app,8.0,OLA,0.46443629187374696,0.0,0.0,0.0,1.0,0.0,0.716821188135962,0.0028882093102276588,0.0,0.2294156173883407,0.008590876049078044,0.6767884411762618,0.9999999999999999,9,100,5
LPM-179,23.3,[AFTERSALES] Offers section,8.0,OLA,0.35725868605672845,0.0,0.0,0.0,1.0,0.0,0.7156,0.0,0.0,0.2294156173883407,0.008590876049078044,0.6518558576808493,0.9630594848849408,9,100,5
LPM-230,23.3,[AFTERSALES] My vehicle section in app,13.0,OLA,0.35021771278569375,0.0,0.0,0.0,0.0,0.0,0.7261092623713251,0.06710839279646619,0.0,0.2294156173883407,0.008590876049078044,0.49337171267642094,0.7282468368049483,7,21,6
LPM-199,23.3,[MOD4] EV statistics for MCA (MVP),8.0,OLA,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.35,0.0,0.2294156173883407,0.008590876049078044,0.19493057303821726,0.28607166343035434,5,8,5
LPM-251,23.3,CUPRA TRIBE MVP - App,13.0,OLA,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.2294156173883407,0.008590876049078044,0.38013976908825076,0.5604805752622581,6,13,6
